transaction_id,merchant_id,customer_id,amount,payment_method,status,hour,retry_count,checkout_started,checkout_completed,revenue,revenue_lost
TXN000029,M004,C007314,1382.88,CARD,captured,4,0,1,1,1382.88,0.0
TXN000030,M003,C009029,4568.95,UPI,failed,7,1,1,0,0.0,4568.95
TXN000031,M004,C006140,1479.07,WALLET,captured,11,0,1,1,1479.07,0.0
TXN000032,M004,C003450,873.57,CARD,captured,19,1,1,1,873.57,0.0
TXN000033,M001,C007575,1227.92,UPI,captured,6,0,1,1,1227.92,0.0
TXN000034,M003,C003002,893.07,CARD,captured,11,1,0,0,893.07,0.0
TXN000035,M005,C006000,919.23,UPI,captured,14,2,1,1,919.23,0.0
TXN000036,M003,C005075,846.59,UPI,captured,14,0,1,1,846.59,0.0
TXN000037,M005,C008625,1050.81,UPI,captured,14,0,0,0,1050.81,0.0
TXN000038,M001,C005549,2365.15,UPI,captured,13,0,1,1,2365.15,0.0
TXN000039,M002,C004348,343.43,UPI,captured,0,0,0,0,343.43,0.0
TXN000040,M004,C006120,1685.31,NETBANKING,captured,0,0,1,1,1685.31,0.0
TXN000041,M001,C007051,1474.66,NETBANKING,captured,22,2,1,1,1474.66,0.0
TXN000042,M004,C005943,4054.29,UPI,captured,15,0,1,1,4054.29,0.0
TXN000043,M002,C008413,999.71,CARD,captured,1,0,0,0,999.71,0.0
TXN000044,M002,C004656,3312.18,UPI,captured,5,0,1,1,3312.18,0.0
TXN000045,M001,C005178,673.23,UPI,failed,14,0,0,0,0.0,673.23
TXN000046,M002,C003809,930.76,UPI,captured,12,0,1,1,930.76,0.0
TXN000047,M005,C007817,1869.31,CARD,captured,0,0,1,1,1869.31,0.0
TXN000048,M002,C007875,2178.11,WALLET,captured,17,0,1,1,2178.11,0.0
TXN000049,M004,C005838,1083.41,UPI,captured,2,2,1,1,1083.41,0.0
TXN000050,M004,C000780,1600.82,NETBANKING,captured,15,2,1,1,1600.82,0.0
TXN000051,M004,C002263,1174.41,CARD,captured,14,0,1,1,1174.41,0.0
TXN000052,M004,C007886,2522.75,CARD,captured,13,0,1,1,2522.75,0.0
TXN000053,M005,C004732,1191.21,UPI,captured,11,1,1,1,1191.21,0.0
TXN000054,M003,C001040,1120.63,CARD,captured,6,1,1,1,1120.63,0.0
TXN000055,M001,C007956,2960.23,UPI,captured,8,2,1,1,2960.23,0.0
TXN000056,M004,C007567,1584.79,UPI,captured,15,0,1,1,1584.79,0.0
TXN000057,M002,C002281,2286.24,NETBANKING,captured,2,0,1,1,2286.24,0.0
TXN000058,M004,C009996,9885.79,UPI,captured,0,0,1,1,9885.79,0.0
TXN000059,M002,C001389,273.65,UPI,captured,10,3,1,1,273.65,0.0
TXN000060,M002,C007082,588.77,CARD,captured,5,0,1,1,588.77,0.0
TXN000061,M004,C007163,637.64,NETBANKING,captured,23,0,1,1,637.64,0.0
TXN000062,M005,C008120,676.64,UPI,failed,6,0,1,0,0.0,676.64
TXN000063,M002,C003509,4181.84,UPI,captured,1,0,1,1,4181.84,0.0
TXN000064,M002,C002119,158.59,UPI,captured,21,0,0,0,158.59,0.0
TXN000065,M004,C001583,1969.1,CARD,captured,11,0,1,1,1969.1,0.0
TXN000066,M002,C007893,393.01,NETBANKING,captured,23,1,1,1,393.01,0.0
TXN000067,M002,C003446,1367.11,UPI,captured,7,1,1,1,1367.11,0.0
TXN000068,M004,C008650,1648.33,UPI,captured,19,0,1,1,1648.33,0.0
TXN000069,M004,C002819,2765.65,WALLET,captured,2,0,1,1,2765.65,0.0
TXN000070,M001,C000677,1083.1,UPI,captured,5,0,1,1,1083.1,0.0
TXN000071,M005,C009606,1166.21,UPI,captured,23,0,1,1,1166.21,0.0
TXN000072,M005,C006364,259.93,NETBANKING,captured,11,0,0,0,259.93,0.0
TXN000073,M002,C009098,8300.86,WALLET,captured,13,0,1,1,8300.86,0.0
TXN000074,M005,C005388,1711.53,UPI,captured,3,1,1,1,1711.53,0.0
TXN000075,M002,C005750,1902.7,WALLET,failed,14,0,1,0,0.0,1902.7
TXN000076,M001,C006337,3160.32,UPI,captured,23,2,1,1,3160.32,0.0
TXN000077,M004,C000112,1269.07,CARD,captured,11,0,1,1,1269.07,0.0
TXN000078,M004,C003380,1880.11,CARD,failed,14,0,1,0,0.0,1880.11
TXN000079,M004,C003874,2373.87,UPI,captured,10,2,1,1,2373.87,0.0
TXN000080,M005,C007508,411.66,NETBANKING,captured,16,0,1,1,411.66,0.0
TXN000081,M001,C003152,2047.77,WALLET,captured,15,1,1,1,2047.77,0.0
TXN000082,M005,C007646,7045.42,CARD,captured,1,0,1,1,7045.42,0.0
TXN000083,M005,C005607,5417.92,UPI,captured,14,0,1,1,5417.92,0.0
TXN000084,M001,C001945,4562.62,UPI,captured,1,0,1,1,4562.62,0.0
TXN000085,M001,C002501,6175.98,UPI,captured,9,0,1,1,6175.98,0.0
TXN000086,M001,C008605,488.98,CARD,captured,3,0,1,1,488.98,0.0
TXN000087,M001,C002652,880.16,NETBANKING,captured,15,1,1,1,880.16,0.0
TXN000088,M004,C008378,646.04,UPI,captured,2,0,0,0,646.04,0.0
TXN000089,M003,C009769,21940.52,UPI,captured,8,0,1,1,21940.52,0.0
TXN000090,M003,C003159,1628.05,CARD,captured,1,0,0,0,1628.05,0.0
TXN000091,M001,C007392,432.07,NETBANKING,captured,10,1,1,1,432.07,0.0
TXN000092,M003,C004078,554.83,UPI,captured,19,1,1,1,554.83,0.0
TXN000093,M003,C000051,1459.26,UPI,failed,11,0,1,0,0.0,1459.26
TXN000094,M001,C001170,450.18,CARD,captured,0,2,1,1,450.18,0.0
TXN000095,M003,C007613,5972.65,CARD,captured,23,0,1,1,5972.65,0.0
TXN000096,M005,C005404,2521.01,WALLET,captured,5,1,1,1,2521.01,0.0
TXN000097,M002,C008228,1720.67,UPI,captured,7,0,1,1,1720.67,0.0
TXN000098,M002,C008469,576.58,NETBANKING,captured,3,0,1,1,576.58,0.0
TXN000099,M001,C005816,465.52,NETBANKING,captured,10,0,1,1,465.52,0.0
TXN000100,M004,C007154,1771.06,UPI,captured,8,0,0,0,1771.06,0.0
TXN000101,M001,C006326,1495.12,CARD,captured,16,3,1,1,1495.12,0.0
TXN000102,M004,C006615,479.77,CARD,captured,11,2,1,1,479.77,0.0
TXN000103,M002,C005932,1282.95,NETBANKING,captured,7,1,1,1,1282.95,0.0
TXN000104,M001,C000889,1285.6,CARD,captured,13,0,0,0,1285.6,0.0
TXN000105,M005,C000404,2417.41,UPI,captured,14,0,1,1,2417.41,0.0
TXN000106,M003,C007977,7223.67,UPI,captured,7,0,1,1,7223.67,0.0
TXN000107,M004,C003986,253.76,UPI,captured,4,3,1,1,253.76,0.0
TXN000108,M003,C009365,2542.59,WALLET,captured,16,0,1,1,2542.59,0.0
TXN000109,M003,C006550,767.24,UPI,captured,4,0,1,1,767.24,0.0
TXN000110,M001,C006147,1876.63,UPI,captured,13,0,1,1,1876.63,0.0
TXN000111,M003,C005129,1487.08,WALLET,failed,14,0,1,0,0.0,1487.08
TXN000112,M005,C002588,1998.41,UPI,failed,2,0,1,0,0.0,1998.41
TXN000113,M003,C000290,495.48,UPI,captured,6,0,1,1,495.48,0.0
TXN000114,M001,C002229,2909.39,CARD,captured,13,0,1,1,2909.39,0.0
TXN000115,M005,C009776,1383.94,UPI,captured,1,0,1,1,1383.94,0.0
TXN000116,M002,C009862,4078.1,NETBANKING,failed,10,1,1,0,0.0,4078.1
TXN000117,M003,C005412,4788.43,UPI,captured,12,0,1,1,4788.43,0.0
TXN000118,M001,C000648,1618.85,UPI,captured,0,2,1,1,1618.85,0.0
TXN000119,M002,C003155,2956.94,UPI,captured,16,0,1,1,2956.94,0.0
TXN000120,M002,C000266,2759.21,CARD,captured,18,2,1,1,2759.21,0.0
TXN000121,M004,C003489,3908.72,CARD,captured,1,0,1,1,3908.72,0.0
TXN000122,M005,C002779,3688.8,UPI,captured,21,0,1,1,3688.8,0.0
TXN000123,M003,C004957,527.85,CARD,captured,9,1,1,1,527.85,0.0
TXN000124,M001,C008211,1673.36,NETBANKING,captured,3,1,1,1,1673.36,0.0
TXN000125,M004,C004467,441.13,NETBANKING,captured,11,2,1,1,441.13,0.0
TXN000126,M005,C007553,882.25,UPI,captured,20,0,0,0,882.25,0.0
TXN000127,M004,C003828,911.35,WALLET,captured,22,0,1,1,911.35,0.0
TXN000128,M005,C000643,2138.98,UPI,captured,23,1,0,0,2138.98,0.0
TXN000129,M005,C009738,1114.18,UPI,captured,0,0,1,1,1114.18,0.0
TXN000130,M003,C000817,1178.85,UPI,captured,3,1,0,0,1178.85,0.0
TXN000131,M005,C002192,2978.93,UPI,captured,6,0,1,1,2978.93,0.0
TXN000132,M004,C005927,2706.85,CARD,captured,20,0,1,1,2706.85,0.0
TXN000133,M005,C002669,1670.32,CARD,captured,17,0,1,1,1670.32,0.0
TXN000134,M003,C009056,2438.98,UPI,captured,23,2,1,1,2438.98,0.0
TXN000135,M003,C007560,2245.66,UPI,captured,9,0,0,0,2245.66,0.0
TXN000136,M004,C003373,6450.3,UPI,captured,11,3,1,1,6450.3,0.0
TXN000137,M002,C007009,1133.4,UPI,captured,12,0,1,1,1133.4,0.0
TXN000138,M002,C008721,733.94,UPI,captured,10,1,1,1,733.94,0.0
TXN000139,M005,C004063,1576.74,UPI,failed,20,2,1,1,0.0,1576.74
TXN000140,M001,C006893,626.22,NETBANKING,captured,5,1,0,0,626.22,0.0
TXN000141,M005,C006071,997.89,UPI,captured,23,0,1,1,997.89,0.0
TXN000142,M004,C007503,1920.03,WALLET,captured,17,0,1,1,1920.03,0.0
TXN000143,M004,C009725,892.58,UPI,captured,20,0,1,1,892.58,0.0
TXN000144,M004,C008748,1116.02,UPI,captured,2,0,1,1,1116.02,0.0
TXN000145,M004,C003893,1076.67,CARD,captured,21,1,1,1,1076.67,0.0
TXN000146,M004,C002801,947.07,NETBANKING,failed,18,0,1,0,0.0,947.07
TXN000147,M003,C000931,557.14,UPI,captured,21,1,1,1,557.14,0.0
TXN000148,M002,C005250,3010.28,NETBANKING,captured,19,0,1,1,3010.28,0.0
TXN000149,M004,C004194,4008.06,CARD,captured,1,0,1,1,4008.06,0.0
TXN000150,M001,C008985,2867.77,UPI,captured,7,0,1,1,2867.77,0.0
TXN000151,M001,C004036,2847.47,NETBANKING,captured,5,0,1,1,2847.47,0.0
TXN000152,M001,C004384,960.49,UPI,captured,8,3,1,1,960.49,0.0
TXN000153,M001,C009962,1540.98,UPI,captured,22,0,1,1,1540.98,0.0
TXN000154,M003,C006313,718.02,WALLET,captured,22,1,1,1,718.02,0.0
TXN000155,M001,C003151,1202.5,UPI,captured,23,2,1,1,1202.5,0.0
TXN000156,M004,C004359,1291.12,UPI,captured,4,1,1,1,1291.12,0.0
TXN000157,M005,C008904,442.26,UPI,captured,3,0,1,1,442.26,0.0
TXN000158,M001,C006867,1488.79,WALLET,captured,12,0,0,0,1488.79,0.0
TXN000159,M003,C002578,875.97,UPI,failed,6,0,1,0,0.0,875.97
TXN000160,M003,C004881,1656.04,UPI,captured,17,1,0,0,1656.04,0.0
TXN000161,M001,C004306,1109.79,UPI,captured,17,0,1,1,1109.79,0.0
TXN000162,M005,C004051,1767.17,WALLET,captured,2,2,1,1,1767.17,0.0
TXN000163,M001,C003149,2340.76,UPI,captured,3,0,1,1,2340.76,0.0
TXN000164,M003,C006155,491.42,NETBANKING,captured,21,2,0,0,491.42,0.0
TXN000165,M002,C008061,1037.23,UPI,captured,20,0,0,0,1037.23,0.0
TXN000166,M004,C005127,797.6,UPI,captured,22,1,0,0,797.6,0.0
TXN000167,M003,C001947,3438.03,UPI,captured,23,0,1,1,3438.03,0.0
TXN000168,M001,C001573,5209.44,UPI,failed,2,0,1,0,0.0,5209.44
TXN000169,M004,C000200,1385.67,WALLET,captured,12,1,1,1,1385.67,0.0
TXN000170,M001,C002378,1851.22,NETBANKING,captured,17,0,1,1,1851.22,0.0
TXN000171,M001,C004069,411.91,UPI,captured,7,0,1,1,411.91,0.0
TXN000172,M002,C008282,1706.97,UPI,failed,18,0,1,1,0.0,1706.97
TXN000173,M004,C000591,1088.97,CARD,captured,9,2,1,1,1088.97,0.0
TXN000174,M004,C006199,3971.28,UPI,captured,15,1,1,1,3971.28,0.0
TXN000175,M002,C006032,1116.56,CARD,captured,8,0,1,1,1116.56,0.0
TXN000176,M003,C005341,694.73,NETBANKING,failed,23,0,1,0,0.0,694.73
TXN000177,M001,C008284,457.49,UPI,captured,18,0,1,1,457.49,0.0
TXN000178,M005,C008132,1548.2,UPI,captured,10,0,0,0,1548.2,0.0
TXN000179,M001,C000590,867.18,UPI,captured,10,0,1,1,867.18,0.0
TXN000180,M001,C003639,3546.92,UPI,captured,10,3,1,1,3546.92,0.0
TXN000181,M003,C003315,2222.96,WALLET,captured,16,0,1,1,2222.96,0.0
TXN000182,M001,C000786,1235.49,NETBANKING,captured,7,1,1,1,1235.49,0.0
TXN000183,M002,C008076,2212.36,UPI,captured,15,0,1,1,2212.36,0.0
TXN000184,M002,C004046,5402.19,CARD,captured,13,3,1,1,5402.19,0.0
TXN000185,M004,C003785,529.57,UPI,captured,7,0,1,1,529.57,0.0
TXN000186,M005,C001178,805.88,UPI,captured,13,0,0,0,805.88,0.0
TXN000187,M001,C001278,6331.7,CARD,captured,5,0,1,1,6331.7,0.0
TXN000188,M001,C002966,732.49,UPI,failed,20,1,1,1,0.0,732.49
TXN000189,M003,C008494,2275.29,UPI,captured,5,0,1,1,2275.29,0.0
TXN000190,M002,C002345,3462.11,UPI,captured,16,0,1,1,3462.11,0.0
TXN000191,M005,C007659,1322.64,UPI,captured,10,0,1,1,1322.64,0.0
TXN000192,M004,C005164,2325.2,CARD,captured,1,1,1,1,2325.2,0.0
TXN000193,M002,C003216,1058.76,NETBANKING,captured,16,0,0,0,1058.76,0.0
TXN000194,M004,C008188,5729.2,NETBANKING,captured,23,0,1,1,5729.2,0.0
TXN000195,M003,C000062,940.58,WALLET,captured,1,1,1,1,940.58,0.0
TXN000196,M003,C000858,624.11,NETBANKING,captured,8,2,1,1,624.11,0.0
TXN000197,M001,C008730,2727.05,UPI,captured,11,0,1,1,2727.05,0.0
TXN000198,M005,C001341,2363.65,UPI,captured,23,0,0,0,2363.65,0.0
TXN000199,M004,C005555,1509.06,UPI,captured,20,0,1,1,1509.06,0.0
TXN000200,M002,C009010,1375.32,UPI,captured,13,2,1,1,1375.32,0.0
TXN000201,M003,C005016,900.73,CARD,captured,0,0,1,1,900.73,0.0
TXN000202,M001,C000975,744.16,CARD,captured,0,1,1,1,744.16,0.0
TXN000203,M001,C004638,825.03,UPI,captured,6,3,0,0,825.03,0.0
TXN000204,M004,C003653,1720.14,CARD,captured,7,3,0,0,1720.14,0.0
TXN000205,M003,C003304,1135.25,UPI,captured,13,0,1,1,1135.25,0.0
TXN000206,M005,C001712,406.34,UPI,captured,2,0,1,1,406.34,0.0
TXN000207,M003,C000790,956.8,NETBANKING,captured,6,0,1,1,956.8,0.0
TXN000208,M004,C000581,1129.86,UPI,captured,2,0,1,1,1129.86,0.0
TXN000209,M004,C008544,2013.92,UPI,captured,14,0,1,1,2013.92,0.0
TXN000210,M003,C002303,1691.9,UPI,captured,1,1,0,0,1691.9,0.0
TXN000211,M004,C001074,5455.3,UPI,captured,21,0,0,0,5455.3,0.0
TXN000212,M003,C005374,611.79,CARD,captured,12,2,1,1,611.79,0.0
TXN000213,M002,C007562,2084.82,UPI,captured,12,2,1,1,2084.82,0.0
TXN000214,M003,C001883,2225.73,CARD,captured,7,2,0,0,2225.73,0.0
TXN000215,M003,C004346,1674.73,CARD,failed,20,1,1,0,0.0,1674.73
TXN000216,M004,C001261,1056.07,NETBANKING,captured,8,0,1,1,1056.07,0.0
TXN000217,M004,C007048,775.22,UPI,captured,16,0,1,1,775.22,0.0
TXN000218,M001,C000232,1296.42,UPI,captured,5,0,1,1,1296.42,0.0
TXN000219,M001,C009149,320.43,CARD,captured,5,0,1,1,320.43,0.0
TXN000220,M002,C004730,639.62,UPI,captured,3,0,1,1,639.62,0.0
TXN000221,M001,C009287,614.09,UPI,captured,16,0,1,1,614.09,0.0
TXN000222,M003,C003537,2004.12,CARD,captured,18,1,1,1,2004.12,0.0
TXN000223,M004,C003493,2209.03,UPI,failed,19,2,1,1,0.0,2209.03
TXN000224,M001,C005120,568.03,UPI,captured,3,0,1,1,568.03,0.0
TXN000225,M001,C001303,470.56,CARD,captured,3,3,1,1,470.56,0.0
TXN000226,M002,C004315,415.5,CARD,captured,12,1,1,1,415.5,0.0
TXN000227,M002,C008889,2928.4,CARD,captured,5,0,1,1,2928.4,0.0
TXN000228,M003,C000307,2785.13,CARD,captured,23,0,1,1,2785.13,0.0
TXN000229,M004,C008506,2252.06,UPI,captured,20,0,1,1,2252.06,0.0
TXN000230,M002,C003475,4458.78,UPI,captured,15,0,1,1,4458.78,0.0
TXN000231,M001,C005849,5554.16,WALLET,captured,14,0,1,1,5554.16,0.0
TXN000232,M004,C007656,605.04,UPI,captured,8,0,1,1,605.04,0.0
TXN000233,M004,C001403,976.99,WALLET,captured,0,1,1,1,976.99,0.0
TXN000234,M001,C004377,2500.44,CARD,captured,16,0,1,1,2500.44,0.0
TXN000235,M002,C008227,147.15,CARD,captured,9,3,1,1,147.15,0.0
TXN000236,M001,C002118,1096.0,UPI,failed,21,1,0,0,0.0,1096.0
TXN000237,M004,C008552,2893.26,NETBANKING,captured,16,1,1,1,2893.26,0.0
TXN000238,M005,C005810,1013.44,UPI,captured,10,2,1,1,1013.44,0.0
TXN000239,M005,C006031,2405.2,NETBANKING,captured,9,0,1,1,2405.2,0.0
TXN000240,M003,C000408,270.34,UPI,captured,10,2,1,1,270.34,0.0
TXN000241,M001,C005681,1681.14,CARD,captured,8,0,0,0,1681.14,0.0
TXN000242,M001,C004676,926.39,CARD,captured,1,0,0,0,926.39,0.0
TXN000243,M003,C005504,1118.54,CARD,captured,7,0,1,1,1118.54,0.0
TXN000244,M003,C006225,627.48,CARD,captured,19,0,1,1,627.48,0.0
TXN000245,M003,C007606,4814.42,WALLET,captured,0,0,1,1,4814.42,0.0
TXN000246,M004,C002093,1415.37,WALLET,captured,9,0,1,1,1415.37,0.0
TXN000247,M001,C007527,1505.05,UPI,captured,3,0,1,1,1505.05,0.0
TXN000248,M004,C000137,6969.32,UPI,captured,6,0,1,1,6969.32,0.0
TXN000249,M003,C009171,639.12,UPI,captured,0,0,1,1,639.12,0.0
TXN000250,M001,C001485,1498.07,CARD,captured,6,0,1,1,1498.07,0.0
TXN000251,M004,C003377,776.68,CARD,captured,0,0,1,1,776.68,0.0
TXN000252,M004,C006373,747.18,CARD,captured,22,0,1,1,747.18,0.0
TXN000253,M003,C006327,1713.42,UPI,captured,23,3,1,1,1713.42,0.0
TXN000254,M001,C000467,1069.04,UPI,captured,9,2,1,1,1069.04,0.0
TXN000255,M003,C004934,6519.62,UPI,captured,12,0,1,1,6519.62,0.0
TXN000256,M001,C000975,5573.66,NETBANKING,captured,15,0,1,1,5573.66,0.0
TXN000257,M005,C005188,1176.16,UPI,captured,14,1,1,1,1176.16,0.0
TXN000258,M002,C007013,390.4,UPI,captured,18,0,1,1,390.4,0.0
TXN000259,M002,C007473,1061.11,WALLET,captured,11,0,0,0,1061.11,0.0
TXN000260,M002,C002652,3096.46,NETBANKING,failed,3,0,1,0,0.0,3096.46
TXN000261,M003,C001800,659.04,UPI,captured,11,1,1,1,659.04,0.0
TXN000262,M005,C001016,4835.38,NETBANKING,captured,8,1,1,1,4835.38,0.0
TXN000263,M001,C006239,2132.25,UPI,captured,19,0,1,1,2132.25,0.0
TXN000264,M004,C009941,524.96,CARD,captured,5,1,1,1,524.96,0.0
TXN000265,M001,C008877,789.91,UPI,captured,23,0,1,1,789.91,0.0
TXN000266,M004,C009649,884.44,WALLET,captured,13,1,1,1,884.44,0.0
TXN000267,M001,C008561,702.88,CARD,captured,22,0,1,1,702.88,0.0
TXN000268,M005,C006423,535.73,UPI,captured,23,2,1,1,535.73,0.0
TXN000269,M004,C006048,845.51,CARD,captured,23,1,0,0,845.51,0.0
TXN000270,M003,C006550,987.76,NETBANKING,captured,14,1,0,0,987.76,0.0
TXN000271,M001,C006590,3786.79,UPI,captured,9,2,1,1,3786.79,0.0
TXN000272,M001,C006217,1902.53,UPI,captured,8,3,1,1,1902.53,0.0
TXN000273,M004,C001345,1995.29,UPI,failed,0,1,1,0,0.0,1995.29
TXN000274,M003,C004118,1771.67,UPI,captured,19,1,0,0,1771.67,0.0
TXN000275,M003,C008371,708.47,UPI,captured,15,0,1,1,708.47,0.0
TXN000276,M005,C009325,3353.26,UPI,failed,18,0,1,1,0.0,3353.26
TXN000277,M003,C007540,946.25,UPI,captured,23,0,1,1,946.25,0.0
TXN000278,M003,C007865,1023.85,UPI,captured,0,3,1,1,1023.85,0.0
TXN000279,M003,C001480,1814.0,UPI,failed,7,2,1,0,0.0,1814.0
TXN000280,M002,C005349,9895.05,NETBANKING,captured,20,0,1,1,9895.05,0.0
TXN000281,M005,C003067,852.1,UPI,captured,4,0,1,1,852.1,0.0
TXN000282,M001,C007092,363.73,NETBANKING,captured,2,1,1,1,363.73,0.0
TXN000283,M004,C004627,1688.28,UPI,captured,16,0,1,1,1688.28,0.0
TXN000284,M001,C002473,2314.81,UPI,captured,11,0,1,1,2314.81,0.0
TXN000285,M005,C000959,946.26,CARD,captured,14,0,1,1,946.26,0.0
TXN000286,M004,C009264,832.97,UPI,failed,11,0,1,0,0.0,832.97
TXN000287,M005,C001489,484.41,UPI,captured,8,0,1,1,484.41,0.0
TXN000288,M003,C004768,1753.97,WALLET,captured,19,0,1,1,1753.97,0.0
TXN000289,M004,C001934,6345.28,UPI,captured,16,0,1,1,6345.28,0.0
TXN000290,M003,C005728,5270.94,NETBANKING,captured,21,0,1,1,5270.94,0.0
TXN000291,M001,C005150,1703.87,WALLET,captured,19,1,1,1,1703.87,0.0
TXN000292,M001,C005753,960.11,UPI,captured,5,1,1,1,960.11,0.0
TXN000293,M004,C007157,1818.16,UPI,captured,10,0,1,1,1818.16,0.0
TXN000294,M004,C004975,1032.87,UPI,captured,21,1,1,1,1032.87,0.0
TXN000295,M005,C007091,802.32,UPI,captured,8,0,1,1,802.32,0.0
TXN000296,M005,C003938,1525.82,UPI,captured,5,0,1,1,1525.82,0.0
TXN000297,M003,C003262,3723.2,UPI,captured,17,0,1,1,3723.2,0.0
TXN000298,M004,C009592,1151.19,CARD,captured,3,0,1,1,1151.19,0.0
TXN000299,M001,C006847,1140.4,UPI,captured,21,1,1,1,1140.4,0.0
TXN000300,M005,C006798,1083.76,UPI,captured,12,0,1,1,1083.76,0.0
TXN000301,M005,C009071,2525.29,UPI,captured,13,0,1,1,2525.29,0.0
TXN000302,M001,C005569,2648.44,UPI,captured,23,0,1,1,2648.44,0.0
TXN000303,M005,C004769,566.17,UPI,failed,21,0,1,1,0.0,566.17
TXN000304,M003,C004214,1162.97,CARD,captured,19,0,1,1,1162.97,0.0
TXN000305,M004,C005178,3245.44,NETBANKING,captured,9,0,1,1,3245.44,0.0
TXN000306,M001,C008047,1024.84,WALLET,captured,19,0,1,1,1024.84,0.0
TXN000307,M004,C000871,4080.6,WALLET,captured,3,0,1,1,4080.6,0.0
TXN000308,M005,C006602,2319.68,UPI,captured,23,0,1,1,2319.68,0.0
TXN000309,M005,C008898,5459.48,UPI,captured,17,0,1,1,5459.48,0.0
TXN000310,M001,C002690,1044.2,CARD,captured,13,0,1,1,1044.2,0.0
TXN000311,M003,C007110,2348.19,UPI,failed,21,0,1,0,0.0,2348.19
TXN000312,M002,C004582,2407.4,CARD,captured,4,0,1,1,2407.4,0.0
TXN000313,M001,C007288,3171.51,CARD,captured,2,0,1,1,3171.51,0.0
TXN000314,M002,C007035,1777.05,UPI,captured,20,0,1,1,1777.05,0.0
TXN000315,M002,C009770,3264.04,CARD,captured,18,0,0,0,3264.04,0.0
TXN000316,M003,C001968,808.66,UPI,captured,2,0,1,1,808.66,0.0
TXN000317,M002,C009445,1280.95,UPI,captured,7,2,1,1,1280.95,0.0
TXN000318,M002,C009445,407.3,UPI,captured,7,0,1,1,407.3,0.0
TXN000319,M003,C005081,1079.45,UPI,captured,1,0,1,1,1079.45,0.0
TXN000320,M002,C004439,678.01,UPI,captured,15,0,1,1,678.01,0.0
TXN000321,M002,C003129,1745.58,CARD,captured,0,1,1,1,1745.58,0.0
TXN000322,M002,C005336,2947.91,UPI,captured,12,1,1,1,2947.91,0.0
TXN000323,M001,C009859,2104.21,CARD,captured,5,0,1,1,2104.21,0.0
TXN000324,M001,C005823,2500.33,UPI,captured,9,2,1,1,2500.33,0.0
TXN000325,M001,C008220,1445.83,UPI,captured,12,0,0,0,1445.83,0.0
TXN000326,M003,C009812,1196.79,CARD,captured,3,0,1,1,1196.79,0.0
TXN000327,M005,C001345,524.06,UPI,failed,18,0,1,1,0.0,524.06
TXN000328,M002,C004669,287.25,UPI,captured,2,0,1,1,287.25,0.0
TXN000329,M002,C007681,400.88,WALLET,failed,20,1,1,0,0.0,400.88
TXN000330,M003,C009120,788.02,NETBANKING,captured,1,1,1,1,788.02,0.0
TXN000331,M002,C001779,2779.16,UPI,captured,6,0,0,0,2779.16,0.0
